book,blurb,seq,class
A Blink of the Screen : collected short fiction,http://www.worldcat.org/oclc/796277033,2,c
A Hat Full of Sky,https://www.hjkeen.net/halqn/discwlds.htm#hat_full,4,b
Carpe Jugulum,https://www.hjkeen.net/halqn/dscwldw5.htm,6,b
Equal Rites,https://www.hjkeen.net/halqn/discwldw.htm#eqrites,8,
Eric,https://www.hjkeen.net/halqn/dscwldr3.htm,10,b
Feet of Clay,https://www.hjkeen.net/halqn/dscwldc3.htm,12,
Going Postal,https://www.hjkeen.net/halqn/dscwlde3.htm,14,
Good Omens,https://www.hjkeen.net/halqn/goodomen.htm,16,
Guards! Guards!,https://www.hjkeen.net/halqn/dscwldc1.htm,18,
Hogfather,https://www.hjkeen.net/halqn/dscwldd4.htm,20,
I Shall Wear Midnight,http://www.worldcat.org/oclc/526057897,22,
Interesting Times,https://www.hjkeen.net/halqn/discwldr.htm#inttimes,24,
Jingo,https://www.hjkeen.net/halqn/dscwldc4.htm,26,
Johnny and the Bomb,https://www.hjkeen.net/halqn/johnnym2.htm#bomb,28,
Johnny and the Dead,https://www.hjkeen.net/halqn/johnny_m.htm#thedead,30,
Lords and Ladies,https://www.hjkeen.net/halqn/dscwldw3.htm,32,
Making Money,https://www.hjkeen.net/halqn/dscwlde4.htm,34,
Maskerade,https://www.hjkeen.net/halqn/dscwldw4.htm,36,
Men at Arms,https://www.hjkeen.net/halqn/dscwldc2.htm,38,
Monstrous Regiment,https://www.hjkeen.net/halqn/discwld2.htm,40,
Mort,https://www.hjkeen.net/halqn/dscwldd1.htm,42,
Moving Pictures,https://www.hjkeen.net/halqn/dscwlde1.htm,44,
Nation,https://www.hjkeen.net/halqn/nation.htm,46,
Night Watch,https://www.hjkeen.net/halqn/dscwldc6.htm,48,
Only You Can Save Mankind,https://www.hjkeen.net/halqn/johnny_m.htm#mankind,50,
Pyramids,https://www.hjkeen.net/halqn/discwrld.htm#pyramids,52,
Raising Steam^,http://www.worldcat.org/oclc/867916800,54,
Reaper Man,http://www.worldcat.org/oclc/50283198,56,
Small Gods,https://www.hjkeen.net/halqn/smllgods.htm,58,
Snuff,http://www.worldcat.org/oclc/703206404,60,
Soul Music,https://www.hjkeen.net/halqn/discwldd.htm,62,
The Amazing Maurice and his Educated Rodents,http://www.worldcat.org/oclc/47625356,64,
The Colour of Magic,https://www.hjkeen.net/halqn/dscwldr1.htm#colour,66,
The Fifth Elephant,https://www.hjkeen.net/halqn/dscwldc5.htm,68,
The Last Continent,https://www.hjkeen.net/halqn/dscwldr5.htm,70,
The Last Hero: a Discworld Fable,https://www.hjkeen.net/halqn/discwldr.htm#lasthero,72,
The Light Fantastic,https://www.hjkeen.net/halqn/dscwldr1.htm#light,74,
The Truth,https://www.hjkeen.net/halqn/dscwlde2.htm,76,
The Wee Free Men,https://www.hjkeen.net/halqn/discwlds.htm#weefree,78,
Thud!,https://www.hjkeen.net/halqn/dscwldc7.htm,82,
Wintersmith,https://www.hjkeen.net/halqn/discwlds.htm#wntrsmth,88,
Witches Abroad,https://www.hjkeen.net/halqn/dscwldw2.htm,90,
World of Poo,http://www.worldcat.org/oclc/779864032,92,
Wyrd Sisters,https://www.hjkeen.net/halqn/discwldw.htm#wyrdsis,94,
Unseen Academicals,https://www.hjkeen.net/halqn/dscwldr6.htm,84,
Thief of Time,https://www.hjkeen.net/halqn/dscwldd5.htm,80,
Where's My Cow?^,http://www.worldcat.org/oclc/61762815,86,
